rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
43,DOM - Grill Kitchen Bar,76131,,4.6,1016,11–20,11,20,15.5,1.5,4.546,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/DOM+-+Grill+Kitchen+Bar/data=!4m7!3m6!1s0x47970650b9b6fdf7:0xdc8a7677d9531c55!8m2!3d49.0106437!4d8.3926857!16s%2Fg%2F11b6xbjr51!19sChIJ9_22uVAGl0cRVRxT2Xd2itw?authuser=0&hl=de&rclk=1
44,GuMo - Café | Bistro | Deli,76131,,4.6,710,11–20,11,20,15.5,2.14,4.523,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/GuMo+-+Caf%C3%A9+%7C+Bistro+%7C+Deli/data=!4m7!3m6!1s0x479707e5ab64f1d9:0xe10107caa09d55d5!8m2!3d49.0080502!4d8.3972518!16s%2Fg%2F11m9v8by19!19sChIJ2fFkq-UHl0cR1VWdoMoHAeE?authuser=0&hl=de&rclk=1
45,Hotel am Tiergarten HBF Karlsruhe,76131,,4.2,618,11–20,11,20,15.5,2.45,4.122,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+am+Tiergarten+HBF+Karlsruhe/data=!4m10!3m9!1s0x4797066be783db25:0x43b0c6e0c34e425e!5m2!4m1!1i2!8m2!3d48.9949229!4d8.4002928!16s%2Fg%2F1tg77_9c!19sChIJJduD52sGl0cRXkJOw-DGsEM?authuser=0&hl=de&rclk=1
46,Pâtisserie Ludwig,76131,,4.8,468,11–20,11,20,15.5,3.21,4.678,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/P%C3%A2tisserie+Ludwig/data=!4m7!3m6!1s0x4797065a13a7cbdb:0xfa46b93d959fe6c9!8m2!3d49.0083402!4d8.3978768!16s%2Fg%2F124yckbtg!19sChIJ28unE1oGl0cRyeaflT25Rvo?authuser=0&hl=de&rclk=1
47,Pâtisserie Ludwig,76131,,4.6,440,11–20,11,20,15.5,3.4,4.477,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/P%C3%A2tisserie+Ludwig/data=!4m7!3m6!1s0x4797066bb1c6dedd:0x9e97ba368498638d!8m2!3d48.9954597!4d8.4022965!16s%2Fg%2F11fyzd2_qf!19sChIJ3d7GsWsGl0cRjWOYhDa6l54?authuser=0&hl=de&rclk=1
48,Deluxe Grillhaus,76131,,4.9,423,11–20,11,20,15.5,3.53,4.762,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Deluxe+Grillhaus/data=!4m7!3m6!1s0x479707297d8d09e5:0xebff76e27132132a!8m2!3d48.9972622!4d8.4104794!16s%2Fg%2F11k3hvpwlp!19sChIJ5QmNfSkHl0cRKhMyceJ2_-s?authuser=0&hl=de&rclk=1
49,American Sports Bar & Diner,76131,,4.8,326,11–20,11,20,15.5,4.54,4.628,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/American+Sports+Bar+%26+Diner/data=!4m7!3m6!1s0x47970724a036bd85:0xaf4b953ed3ffe247!8m2!3d49.0121042!4d8.3582319!16s%2Fg%2F11h7krnlhm!19sChIJhb02oCQHl0cRR-L_0z6VS68?authuser=0&hl=de&rclk=1
50,Tonos 2,76131,,4.7,233,11–20,11,20,15.5,6.24,4.469,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Tonos+2/data=!4m7!3m6!1s0x479708eed8dc3c07:0x6f4401b201d44aef!8m2!3d48.9994487!4d8.4679355!16s%2Fg%2F1tk4q2ms!19sChIJBzzc2O4Il0cR70rUAbIBRG8?authuser=0&hl=de&rclk=1
51,Payidar,76131,,4.8,220,11–20,11,20,15.5,6.58,4.55,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Payidar/data=!4m7!3m6!1s0x4797074a037769a9:0x3d386fe064d7af7c!8m2!3d49.006474!4d8.4025833!16s%2Fg%2F11lwn7b1wd!19sChIJqWl3A0oHl0cRfK_XZOBvOD0?authuser=0&hl=de&rclk=1
52,mod's hair,76131,,4.7,163,11–20,11,20,15.5,8.68,4.379,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/mod%27s+hair/data=!4m7!3m6!1s0x479706455190c63d:0x59780c099fbe2f3c!8m2!3d49.0084575!4d8.3980403!16s%2Fg%2F1xgz9r28!19sChIJPcaQUUUGl0cRPC--nwkMeFk?authuser=0&hl=de&rclk=1
